Event	ID	Name			Wwise Object Path	Notes
	32291984	Play_Dijoji___Narration			\Default Work Unit\NPC\Vocals\Play_Dijoji___Narration	
	318967272	Play_Swinging			\Default Work Unit\Player\Action\Play_Swinging	
	366070904	Play_Highlight2			\Default Work Unit\UI\Play_Highlight2	
	366070907	Play_Highlight1			\Default Work Unit\UI\Play_Highlight1	
	959506991	Play_Unpause			\Default Work Unit\UI\Play_Unpause	
	1172822028	Play_Death			\Default Work Unit\Player\Vocals\Play_Death	
	1246552272	Play_Dijoji___Idle			\Default Work Unit\NPC\Vocals\Play_Dijoji___Idle	
	1292086503	Play_Back			\Default Work Unit\UI\Play_Back	
	1419843580	Play_ApproachingEvil			\Default Work Unit\Enemy\Play_ApproachingEvil	
	1507466227	Play_Dijoji___Walking			\Default Work Unit\NPC\Vocals\Play_Dijoji___Walking	
	1589278981	Play_Walk			\Default Work Unit\Player\Foot\Play_Walk	
	1784546604	Play_Moving			\Default Work Unit\Player\Action\Play_Moving	
	1988178265	Play_Shield			\Default Work Unit\Player\Action\Play_Shield	
	2128578085	Play_Urgent			\Default Work Unit\UI\Play_Urgent	
	2155613437	Play_Music_Boss			\Default Work Unit\Music\Play_Music_Boss	
	2231879068	Play_Dijoji___Death			\Default Work Unit\NPC\Vocals\Play_Dijoji___Death	
	2713813216	Play_Error			\Default Work Unit\UI\Play_Error	
	2822207957	Play_Run			\Default Work Unit\Player\Foot\Play_Run	
	2955259529	Play_Hurt			\Default Work Unit\Player\Vocals\Play_Hurt	
	3226574718	Play_Extend			\Default Work Unit\Player\Action\Play_Extend	
	3338421947	Play_Dodge			\Default Work Unit\Player\Action\Play_Dodge	
	3510422748	Play_JumpVocals			\Default Work Unit\Player\Action\Play_JumpVocals	
	3689126666	Play_Jump			\Default Work Unit\Player\Foot\Play_Jump	
	3938687889	Play_Retract			\Default Work Unit\Player\Action\Play_Retract	
	4114669316	Play_Tension			\Default Work Unit\Enemy\Play_Tension	
	4136017490	Play_Confirm			\Default Work Unit\UI\Play_Confirm	
	4233560256	Play_Pause			\Default Work Unit\UI\Play_Pause	
	4285282925	Play_Land			\Default Work Unit\Player\Foot\Play_Land	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch	ID	Name	Switch Group			Notes
	2195636714	Dirt	Footsteps			
	4248645337	Grass	Footsteps			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9431120	0021_Tape_Measure_2	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\0021_Tape_Measure_2_29758560.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gaoh\Sword\Extend\0021_Tape_Measure_2		252744
	27807858	Highlight2	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Highlight2_F1F3C731.wem		\Actor-Mixer Hierarchy\Default Work Unit\NonWorld\UI\Highlight2		33284
	37203475	Dijoji - Idle - 07	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Dijoji - Idle - 07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\Vocals\Dijoji - Idle\Dijoji - Idle - 07		357088
	46414273	Dijoji - Walking - 02	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Dijoji - Walking - 02_17706990.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\Vocals\Dijoji - Walking\Dijoji - Walking - 02		107704
	60282662	Dijoji - Idle - 05	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Dijoji - Idle - 05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\Vocals\Dijoji - Idle\Dijoji - Idle - 05		373148
	76649810	Dijoji - Walking - 09	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Dijoji - Walking - 09_C9C02E34.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\Vocals\Dijoji - Walking\Dijoji - Walking - 09		91696
	102435855	Dodge00	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Dodge00_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gaoh\Vocals\Dodge\Dodge00		114784
	105827010	FootstepDirtRun03	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\FootstepDirtRun03_32314FAC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gaoh\Foot\Jump\Left Foot\FootstepDirtRun03		27550
	121031980	Error	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Error_DA6FE88C.wem		\Actor-Mixer Hierarchy\Default Work Unit\NonWorld\UI\Error		100088
	122369927	Unpause	C:\Users\user\Desktop\Spirit Bane Project\Spiritbane\Spirit Bane\Spirit Bane_WwiseProject\.cache\Windows\SFX\Unpause_AE803C21.wem		\Actor-Mixer Hierarchy\Default Work Unit\NonWorld\UI\Unpause		97982
